title,year,genre,country
Utz,1992,Drama,GERMANY
Home Road Movies,2002,Animation,UK
Woody Allen: An American Comedy,1977,Documentary,USA
"Kurt Vonnegut, Jr.: A Self-Portrait",1975,Documentary,USA
World Premiere,1941,Comedy,USA
Chump Change,2000,Comedy,USA
Flame,1996,Drama,ZIMBABWE
La petite vendeuse de soleil,1999,Drama,FRANCE
Koudak va sarbaz,2000,Drama,IRAN
Unfinished Business,1985,Drama,AUSTRALIA
Rainshower,1965,Documentary,USA
One Way Ticket,1935,Drama,USA
Ružové sny,1977,Drama,CZECHOSLOVAKIA
Broken Vessels,1998,Drama,USA
Cabine 11,1992,Short,BELGIUM
Li gui chan shen,1987,Horror,TAIWAN
Night of Courage,1987,TV Movie,USA
Secrets,1983,Drama,UK
The Faces of Aids,1993,Documentary,USA
Your Face,1987,Animation,USA
The Elephant and the Snail,2002,Animation,NETHERLANDS
Hush!,2001,Comedy,JAPAN
Julien Donkey-Boy,1999,Experimental,USA
The Lift,1972,Short,USA
L’Argent des Autres,1978,Drama,FRANCE
Down Home,1920,Silent,USA
Risk,1993,Drama,USA
Når livet går sin vej,1997,Family,DENMARK
Jet Over the Atlantic,1959,Action,USA
Khaneh siah ast,1963,Short,IRAN
Chigh,1996,Documentary,IRAN
Tell Me Where It Hurts,1974,TV Movie,USA
Sylvie,1973,Drama,WEST
Rocker,1972,Cult,WEST
Cosmic Ray,1962,Experimental,USA
Wszystko moze sie przytrafic,1995,Documentary,POLAND
The Critic,1963,Animation,USA
Dreams of a Land,1987,Animation,CANADA
Sara lär sig folkvett,1937,Comedy,SWEDEN
Jours tranquilles à Clichy,1990,Drama,FRANCE
The Assassination of JFK,1992,Documentary,USA
Spendthrift,1936,Comedy,USA
Counterfeit,1936,Thriller,USA
The Djarn Djarns,2004,Short,AUSTRALIA
Grandeur et décadence d’un petit commerce de cinéma,1986,Experimental,FRANCE
Zuflucht,1928,Silent,GERMANY
Vykrutasy,1988,Animation,USSR
Sadako and the Thousand Paper Cranes,1991,Family,USA
The Biko Inquest,1984,Theatre,UK
Meet Marlon Brando,1966,Documentary,USA
La vida según Muriel,1997,Drama,ARGENTINA
Improper Channels,1981,Comedy,CANADA
"Camden, Texas",1968,Documentary,USA
Devil in the Flesh,1989,Drama,AUSTRALIA
The Strange Case of Clara Deane,1932,Pre Code,USA
Riverrun,1968,Drama,USA
House of Love (2000) ,2000,Erotic,USA
The Face of Rage,1983,TV Movie,USA
Remember Me,1979,Documentary,USA
The Ski Bum,1971,Drama,USA
My Survival as an Aboriginal,1978,Documentary,AUSTRALIA
Doktor Glas,1968,Drama,DENMARK
Konsento,2001,Thriller,JAPAN
Piccolo,1959,Animation,YUGOSLAVIA
Peter Sellers,1969,Documentary,UK
Night Waltz: The Music of Paul Bowles,1999,Biography,USA
Image in the Snow,1952,Experimental,USA
The Voices,1953,Experimental,USA
Loyal Heart,1946,Drama,UK
Sag-haye velgard,2004,Drama,AFGHANISTAN
Onna wa nido umareru,1961,Drama,JAPAN
Dying,1976,Documentary,USA
Pier 13,1940,Mystery,USA
"My Son, My Son!",1940,Drama,USA
Dirty Money (1972) [Alternate Engli,1972,Thriller,FRANCE
The Gin Game,2003,TV Movie,USA
Broken Promise,1981,TV Movie,USA
Nippon no kuroi natsu – Enzai,2001,Drama,JAPAN
Houkutuslintu,1946,Film Noir,FINLAND
Hamaca paraguaya,2006,Drama,ARGENTINA
Räpsy & Dolly eli Pariisi odottaa,1990,Comedy,FINLAND
